Seq-ID,Local ID,Genus,Species,Origin,GPS coordinates (latitude),GPS coordinates (longitude),Sex
PD_0681,109 / 16LMM5250815,Papio,anubis,"Lake Manyara, Tanzania",S03.41109,E035.82048,M
PD_0682,110 / 17LMF5270815,Papio,anubis,"Lake Manyara, Tanzania",S03.40309,E035.82507,F
PD_0683,111 / 18LMF5270815,Papio,anubis,"Lake Manyara, Tanzania",S03.42710,E035.81178,F
PD_0684,117 / 24LMM2081215,Papio,anubis,"Lake Manyara, Tanzania",S03.47645,E035.77947,M
PD_0685,118 / 25LMF1081215,Papio,anubis,"Lake Manyara, Tanzania",S03.47643,E035.77948,F
PD_0686,119 / 27LMF1081215,Papio,anubis,"Lake Manyara, Tanzania",S03.47644,E035.77946,F
PD_0687,130 / 12MKM1150715,Papio,cynocephalus,"Mikumi, Tanzania",S07.30988,E037.17853,M
PD_0688,131 / 13MKM1150715,Papio,cynocephalus,"Mikumi, Tanzania",S07.30651,E037.17908,M
PD_0689,132 / 14MKM1160715,Papio,cynocephalus,"Mikumi, Tanzania",S07.37108,E037.03915,M
PD_0690,133 / 16MKF1160715,Papio,cynocephalus,"Mikumi, Tanzania",S07.35721,E037.09791,F
PD_0691,134 / 19MKM1170715,Papio,cynocephalus,"Mikumi, Tanzania",S07.34337,E037.16545,M
PD_0692,35221_BZ12030,Papio,ursinus (grayfoot),"Dendro Park, Zambia",ca. S16.14544,ca. E026.06255,M
PD_0693,35225_BZ12031,Papio,ursinus (grayfoot),"Dendro Park, Zambia",ca. S16.14544,ca. E026.06255,F
PD_0694,35227_BZ12032,Papio,ursinus (grayfoot),"Dendro Park, Zambia",ca. S16.14544,ca. E026.06255,F
PD_0695,35229_BZ12033,Papio,ursinus (grayfoot),"Dendro Park, Zambia",ca. S16.14544,ca. E026.06255,F
PD_0696,39876_97070,Papio,hamadryas,"Filoha, Ethiopia",ca. N09.10802,ca. E040.01939,M
PD_0697,39877_97071,Papio,hamadryas,"Filoha, Ethiopia",ca. N09.10802,ca. E040.01939,M
